County,FIPS,States
Adams County, 17001 FIPS Code, Illinois
Alexander County, 17003 FIPS Code, Illinois
Bond County, 17005 FIPS Code, Illinois
Boone County, 17007 FIPS Code, Illinois
Brown County, 17009 FIPS Code, Illinois
Bureau County, 17011 FIPS Code, Illinois
Calhoun County, 17013 FIPS Code, Illinois
Carroll County, 17015 FIPS Code, Illinois
Cass County, 17017 FIPS Code, Illinois
Champaign County, 17019 FIPS Code, Illinois
Christian County, 17021 FIPS Code, Illinois
Clark County, 17023 FIPS Code, Illinois
Clay County, 17025 FIPS Code, Illinois
Clinton County, 17027 FIPS Code, Illinois
Coles County, 17029 FIPS Code, Illinois
Cook County, 17031 FIPS Code, Illinois
Crawford County, 17033 FIPS Code, Illinois
Cumberland County, 17035 FIPS Code, Illinois
De Witt County, 17039 FIPS Code, Illinois
DeKalb County, 17037 FIPS Code, Illinois
Douglas County, 17041 FIPS Code, Illinois
DuPage County, 17043 FIPS Code, Illinois
Edgar County, 17045 FIPS Code, Illinois
Edwards County, 17047 FIPS Code, Illinois
Effingham County, 17049 FIPS Code, Illinois
Fayette County, 17051 FIPS Code, Illinois
Ford County, 17053 FIPS Code, Illinois
Franklin County, 17055 FIPS Code, Illinois
Fulton County, 17057 FIPS Code, Illinois
Gallatin County, 17059 FIPS Code, Illinois
Greene County, 17061 FIPS Code, Illinois
Grundy County, 17063 FIPS Code, Illinois
Hamilton County, 17065 FIPS Code, Illinois
Hancock County, 17067 FIPS Code, Illinois
Hardin County, 17069 FIPS Code, Illinois
Henderson County, 17071 FIPS Code, Illinois
Henry County, 17073 FIPS Code, Illinois
Iroquois County, 17075 FIPS Code, Illinois
Jackson County, 17077 FIPS Code, Illinois
Jasper County, 17079 FIPS Code, Illinois
Jefferson County, 17081 FIPS Code, Illinois
Jersey County, 17083 FIPS Code, Illinois
Jo Daviess County, 17085 FIPS Code, Illinois
Johnson County, 17087 FIPS Code, Illinois
Kane County, 17089 FIPS Code, Illinois
Kankakee County, 17091 FIPS Code, Illinois
Kendall County, 17093 FIPS Code, Illinois
Knox County, 17095 FIPS Code, Illinois
Lake County, 17097 FIPS Code, Illinois
LaSalle County, 17099 FIPS Code, Illinois
Lawrence County, 17101 FIPS Code, Illinois

Lee County, 17103 FIPS Code, Illinois
Livingston County, 17105 FIPS Code, Illinois
Logan County, 17107 FIPS Code, Illinois
Macon County, 17115 FIPS Code, Illinois
Macoupin County, 17117 FIPS Code, Illinois
Madison County, 17119 FIPS Code, Illinois
Marion County, 17121 FIPS Code, Illinois
Marshall County, 17123 FIPS Code, Illinois
Mason County, 17125 FIPS Code, Illinois
Massac County, 17127 FIPS Code, Illinois
McDonough County, 17109 FIPS Code, Illinois
McHenry County, 17111 FIPS Code, Illinois
McLean County, 17113 FIPS Code, Illinois
Menard County, 17129 FIPS Code, Illinois
Mercer County, 17131 FIPS Code, Illinois
Monroe County, 17133 FIPS Code, Illinois
Montgomery County, 17135 FIPS Code, Illinois
Morgan County, 17137 FIPS Code, Illinois
Moultrie County, 17139 FIPS Code, Illinois
Ogle County, 17141 FIPS Code, Illinois
Peoria County, 17143 FIPS Code, Illinois
Perry County, 17145 FIPS Code, Illinois
Piatt County, 17147 FIPS Code, Illinois
Pike County, 17149 FIPS Code, Illinois
Pope County, 17151 FIPS Code, Illinois
Pulaski County, 17153 FIPS Code, Illinois
Putnam County, 17155 FIPS Code, Illinois
Randolph County, 17157 FIPS Code, Illinois
Richland County, 17159 FIPS Code, Illinois
Rock Island County, 17161 FIPS Code, Illinois
Saline County, 17165 FIPS Code, Illinois
Sangamon County, 17167 FIPS Code, Illinois
Schuyler County, 17169 FIPS Code, Illinois
Scott County, 17171 FIPS Code, Illinois
Shelby County, 17173 FIPS Code, Illinois
St. Clair County, 17163 FIPS Code, Illinois
Stark County, 17175 FIPS Code, Illinois
Stephenson County, 17177 FIPS Code, Illinois
Tazewell County, 17179 FIPS Code, Illinois
Union County, 17181 FIPS Code, Illinois
Vermilion County, 17183 FIPS Code, Illinois
Wabash County, 17185 FIPS Code, Illinois
Warren County, 17187 FIPS Code, Illinois
Washington County, 17189 FIPS Code, Illinois
Wayne County, 17191 FIPS Code, Illinois
White County, 17193 FIPS Code, Illinois
Whiteside County, 17195 FIPS Code, Illinois
Will County, 17197 FIPS Code, Illinois
Williamson County, 17199 FIPS Code, Illinois
Winnebago County, 17201 FIPS Code, Illinois
Woodford County, 17203 FIPS Code, Illinois
Adams County, 55001 FIPS Code, Wisconsin
Ashland County, 55003 FIPS Code, Wisconsin
Barron County, 55005 FIPS Code, Wisconsin
Bayfield County, 55007 FIPS Code, Wisconsin
Brown County, 55009 FIPS Code, Wisconsin
Buffalo County, 55011 FIPS Code, Wisconsin
Burnett County, 55013 FIPS Code, Wisconsin
Calumet County, 55015 FIPS Code, Wisconsin
Chippewa County, 55017 FIPS Code, Wisconsin
Clark County, 55019 FIPS Code, Wisconsin
Columbia County, 55021 FIPS Code, Wisconsin
Crawford County, 55023 FIPS Code, Wisconsin
Dane County, 55025 FIPS Code, Wisconsin
Dodge County, 55027 FIPS Code, Wisconsin
Door County, 55029 FIPS Code, Wisconsin
Douglas County, 55031 FIPS Code, Wisconsin
Dunn County, 55033 FIPS Code, Wisconsin
Eau Claire County, 55035 FIPS Code, Wisconsin
Florence County, 55037 FIPS Code, Wisconsin
Fond du Lac County, 55039 FIPS Code, Wisconsin
Forest County, 55041 FIPS Code, Wisconsin
Grant County, 55043 FIPS Code, Wisconsin
Green County, 55045 FIPS Code, Wisconsin
Green Lake County, 55047 FIPS Code, Wisconsin
Iowa County, 55049 FIPS Code, Wisconsin
Iron County, 55051 FIPS Code, Wisconsin
Jackson County, 55053 FIPS Code, Wisconsin
Jefferson County, 55055 FIPS Code, Wisconsin
Juneau County, 55057 FIPS Code, Wisconsin
Kenosha County, 55059 FIPS Code, Wisconsin
Kewaunee County, 55061 FIPS Code, Wisconsin
La Crosse County, 55063 FIPS Code, Wisconsin
Lafayette County, 55065 FIPS Code, Wisconsin
Langlade County, 55067 FIPS Code, Wisconsin
Lincoln County, 55069 FIPS Code, Wisconsin
Manitowoc County, 55071 FIPS Code, Wisconsin
Marathon County, 55073 FIPS Code, Wisconsin
Marinette County, 55075 FIPS Code, Wisconsin
Marquette County, 55077 FIPS Code, Wisconsin
Menominee County, 55078 FIPS Code, Wisconsin
Milwaukee County, 55079 FIPS Code, Wisconsin
Monroe County, 55081 FIPS Code, Wisconsin
